retailer,brand,model,product_url,colourway_shown,colourways_available,price_gbp,delivery_cost_gbp,assembly_cost_gbp,landed_cost_gbp,over_budget,arrives_assembled,mounting,top_width_cm,top_depth_cm,top_load_kg,overall_width_cm,overall_depth_cm,overall_height_cm,bays_json,back_panel,cable_management,frame_material,finish_material,leg_style,warranty,spare_parts_available,returns_window,delivery_lead_time,review_score,review_count,notes
Dunelm,Frank Olsen Furniture,"Iona Large TV Unit for TVs up to 70""",https://www.dunelm.com/product/iona-large-tv-unit-for-tvs-up-to-70-1000276725?defaultSkuId=31026339,Black,,367.2,12.95,,380.15,,self,floor,150.0,40.0,,150.0,40.0,56.0,"[{""kind"": ""open"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}, {""kind"": ""door"", ""count"": 4, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,Painted MDF and Metal Alloy,,,,,Free returns,,0,0,"Storage: 2 Shelves, 4 Doors, With Doors. Max TV Up To 70"". Unit weight ?."
Dunelm,AVF,"AVF Calibre Sound TV Unit for TVs up to 60"" with Pull-Out Soundbar Shelf",https://www.dunelm.com/product/avf-calibre-sound-tv-unit-for-tvs-up-to-60-with-pull-out-soundbar-shelf-1000261910?defaultSkuId=30989756,Rustic Oak,,199,12.95,,211.95,,self,floor,120.0,40.0,,120.0,40.0,41.0,"[{""kind"": ""open"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,MDF,,,,,Free returns,,0,0,"Storage: 2 Shelves, Open Shelf. Max TV Up To 60"". Unit weight ?."
Dunelm,Welcome Furniture,"Harborne Extra Wide TV Unit for TVs up to 80""",https://www.dunelm.com/product/harborne-extra-wide-tv-unit-for-tvs-up-to-80-1000271330?defaultSkuId=31007503,Kobe Pink,,379,12.95,,391.95,,,floor,180.0,39.0,,180.0,39.0,57.0,"[{""kind"": ""open"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}, {""kind"": ""door"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,"Main Body & Top: MFC, Door Fronts: Vinyl Wrapped MDF, Back: hardboard, Legs & Handles: Metal",,,,,Free returns,,0,0,"Storage: 2 Doors, 2 Shelves. Max TV Up To 80"". Unit weight ?."
Dunelm,Jual,"Havana Corner TV Unit for TVs up to 60""",https://www.dunelm.com/product/havana-corner-tv-stand-for-tvs-up-to-60-1000242682?defaultSkuId=30915131,Oak,,389,12.95,,401.95,,self,floor,130.0,65.0,,130.0,65.0,50.0,[],,,"Real Wood Veneer, Solid Wood Legs",,,,,Free returns,,5,1,"Storage: Open Shelf. Max TV Up To 60"". Unit weight 20kg."
Dunelm,AVF,AVF Harbour Extra Wide TV Stand for TVs up to 95”,https://www.dunelm.com/product/avf-harbour-tv-stand-1000223239?defaultSkuId=30861053,White,,369,12.95,,381.95,,self,floor,200.0,39.5,,200.0,39.5,42.0,"[{""kind"": ""door"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,"MDF, Solid wood legs",,,,,Free returns,,4,1,"Storage: 2 Doors, Open Shelf, With Doors. Max TV Up To 80"". Unit weight ?."
Dunelm,Frank Olsen Furniture,"LED Smart Click TV Unit for TVs up to 67""",https://www.dunelm.com/product/led-smart-click-tv-unit-1000205168?defaultSkuId=30792869,White,,255.2,12.95,,268.15,,self,floor,150.0,42.0,,150.0,42.0,56.0,"[{""kind"": ""open"", ""count"": 3, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}, {""kind"": ""door"", ""count"": 3, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,Melamine Wrapped MFC.,Gloss,,,,Free returns,,3.5,4,"Storage: 3 Doors, 3 Shelves, With Doors. Max TV Up To 70"". Unit weight ?."
Dunelm,Dunelm,"Chilton Extra Wide TV Unit for TVs up to 80""",https://www.dunelm.com/product/chilton-extra-wide-tv-unit-1000287046?defaultSkuId=31006233,Light Wood,,249,12.95,,261.95,,self,floor,179.2,40.3,,179.2,40.3,52.9,"[{""kind"": ""open"", ""count"": 1, ""widthCm"": 42.5, ""depthCm"": 35.0, ""heightCm"": 15.0}, {""kind"": ""open"", ""count"": 1, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}, {""kind"": ""door"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}, {""kind"": ""drawer"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,"PB, MDF, Metal",,,,,Free returns,,0,0,"Storage: 2 Doors, 2 Drawers, 2 Shelves. Max TV ?. Unit weight 42.65kg."
Dunelm,GFW,"Galicia Wide TV Unit with Shelving for TVs up to 65""",https://www.dunelm.com/product/galicia-wide-tv-unit-with-shelving-for-tvs-up-to-65-1000270810?defaultSkuId=30990490,Grey,,249,12.95,,261.95,,self,floor,150.0,38.0,,150.0,38.0,30.0,[],,,Particle Board,,,,,Free returns,,3.3,6,"Storage: not stated. Max TV Up To 65"". Unit weight ?."
Dunelm,Welcome Furniture,"Harborne Wide TV Unit for TVs up to 65""",https://www.dunelm.com/product/harborne-wide-tv-unit-for-tvs-up-to-65-1000271334?defaultSkuId=31007204,Black Ash,,299,12.95,,311.95,,,floor,145.0,40.0,,145.0,40.0,57.0,"[{""kind"": ""open"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}, {""kind"": ""door"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,"Main Body & Top: MFC, Door Fronts: Vinyl Wrapped MDF, Back: hardboard, Legs & Handles: Metal",,,,,Free returns,,0,0,"Storage: 2 Doors, 2 Shelves. Max TV Up To 65"". Unit weight ?."
Dunelm,Cedar & Sage,"Canley TV Unit for TVs up to 65""",https://www.dunelm.com/product/canley-tv-stand-1000238761?defaultSkuId=30911984,Natural,,449,12.95,,461.95,,,floor,145.0,40.0,,145.0,40.0,50.0,"[{""kind"": ""open"", ""count"": 1, ""widthCm"": 83.5, ""depthCm"": null, ""heightCm"": 15.0}]",,,Acacia Wood,,,,,Free returns,,1,1,"Storage: Open Shelf. Max TV Up To 65"". Unit weight 22.2kg."
Dunelm,Julian Bowen,"Hollis Oak TV Unit for TVs up to 67""",https://www.dunelm.com/product/hollis-oak-tv-unit-1000220212?defaultSkuId=30857458,Oak,,229,12.95,,241.95,,self,floor,150.0,40.0,,150.0,40.0,60.0,"[{""kind"": ""door"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,"Wood, Metal, Rattan",Wood Effect,,,,Free returns,,5,1,"Storage: 2 Doors, Open Shelf, With Doors. Max TV Up To 65"". Unit weight ?."
Dunelm,Dunelm,"Asia Extra Wide TV Unit for TVs up to 80""",https://www.dunelm.com/product/asia-extra-wide-tv-unit-for-tvs-up-to-80-1000271993?defaultSkuId=31008075,White,,159.2,12.95,,172.15,,self,floor,180.0,40.0,,180.0,40.0,50.0,"[{""kind"": ""door"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,MDF,,,,,Free returns,,1,1,"Storage: 2 Doors, With Doors. Max TV Up To 80"". Unit weight ?."
Dunelm,Frank Olsen Furniture,"Elevate SMART LED Corner TV Unit for TVs up to 55""",https://www.dunelm.com/product/elevate-smart-led-corner-tv-unit-1000215771?defaultSkuId=30889438,Elevate Black,,303.2,12.95,,316.15,,self,floor,120.7,40.0,,120.7,40.0,52.7,"[{""kind"": ""open"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}, {""kind"": ""door"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,"DOORS High Gloss Painted MDF, Remaining Melamine Wrapped MFC.",Gloss,,,,Free returns,,3.7,3,"Storage: 2 Doors, 2 Shelves, With Doors. Max TV Up To 55"". Unit weight ?."
Dunelm,GFW,"Galicia LED Floating Wall TV Unit for TVs up to 55""",https://www.dunelm.com/product/galicia-120cm-led-wall-tv-unit-1000156240?defaultSkuId=30662619,Galicia Black,,87.2,12.95,,100.15,,self,wall-mounted,120.0,38.0,,120.0,38.0,30.0,"[{""kind"": ""open"", ""count"": 1, ""widthCm"": 57.0, ""depthCm"": null, ""heightCm"": 21.5}, {""kind"": ""door"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,Particle Board,Gloss,,,,Free returns,,4.7,9,"Storage: 2 Doors, Open Shelf, With Doors. Max TV Up To 55"". Unit weight ?."
Dunelm,AVF,"Panorama Reversible Top Wide TV Stand for TVs up to 60""",https://www.dunelm.com/product/panorama-wide-tv-stand-120cm-1000210522?defaultSkuId=30812426,Light Oak,,329,12.95,,341.95,,self,floor,120.0,39.5,,120.0,39.5,37.0,[],,,"Steel, MDF and Glass",,,,,Free returns,,5,1,"Storage: not stated. Max TV Up To 60"". Unit weight ?."
Dunelm,Welcome Furniture,"Tuxford Wide TV Unit for TVs up to 65""",https://www.dunelm.com/product/tuxford-wide-tv-unit-for-tvs-up-to-65-1000271061?defaultSkuId=31001693,Oak,,299,12.95,,311.95,,,floor,145.0,40.0,,145.0,40.0,57.0,"[{""kind"": ""open"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}, {""kind"": ""door"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,"Main Body & Top: MFC, Door Fronts: Vinyl Wrapped MDF, Back: hardboard, Legs & Handles: Metal",,,,,Free returns,,0,0,"Storage: 2 Doors, 2 Shelves. Max TV Up To 65"". Unit weight ?."
Dunelm,AVF,"Stage Wide TV Unit for TVs up to 55""",https://www.dunelm.com/product/stage-wide-tv-stand-1000210510?defaultSkuId=30812418,Black,,299,12.95,,311.95,,self,floor,125.0,45.0,,125.0,45.0,40.0,[],,,"Steel, MDF and Glass",,,,,Free returns,,3.3,4,"Storage: not stated. Max TV Up To 55"". Unit weight 44.25kg."
Dunelm,Welcome Furniture,"Tuxford Extra Wide TV Unit for TVs up to 80""",https://www.dunelm.com/product/tuxford-extra-wide-tv-unit-for-tvs-up-to-80-1000271057?defaultSkuId=31001676,Black Ash,,379,12.95,,391.95,,,floor,180.0,39.0,,180.0,39.0,57.0,"[{""kind"": ""open"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}, {""kind"": ""door"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,"Main Body & Top: MFC, Door Fronts: Vinyl Wrapped MDF, Back: hardboard, Legs & Handles: Metal",,,,,Free returns,,0,0,"Storage: 2 Doors, 2 Shelves. Max TV Up To 80"". Unit weight ?."
Dunelm,Indus Valley,"Indus Valley Logan TV Unit for TVs up to 55""",https://www.dunelm.com/product/indus-valley-logan-tv-unit-for-tvs-up-to-55-1000260165?defaultSkuId=30985765,Dark Wood (Brown),,679,12.95,,691.95,,,floor,145.0,42.0,,145.0,42.0,,"[{""kind"": ""open"", ""count"": 1, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,Natural Sheesham wood with Black iron legs,,,,,Free returns,,0,0,"Storage: 1 Shelf, Doors & Drawers. Max TV Up To 55"". Unit weight ?."
Dunelm,Indus Valley,"Indus Valley Railway Sleeper TV Unit for TVs up to 55""",https://www.dunelm.com/product/indus-valley-railway-sleeper-tv-stand-1000230276?defaultSkuId=30877732,Natural,,439,12.95,,451.95,,,floor,130.0,40.0,,130.0,40.0,45.0,"[{""kind"": ""open"", ""count"": 1, ""widthCm"": 41.0, ""depthCm"": null, ""heightCm"": 11.5}, {""kind"": ""door"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,"Wood, Stainless Steel",,,,,Free returns,,0,0,"Storage: 2 Doors, Open Shelf, With Doors. Max TV Up To 55"". Unit weight ?."
Dunelm,Welcome Furniture,"Darlton Wide TV Unit for TVs up to 65""",https://www.dunelm.com/product/darlton-wide-tv-unit-for-tvs-up-to-65-1000271327?defaultSkuId=30996409,Black Ash,,299,12.95,,311.95,,,floor,145.0,40.0,,145.0,40.0,57.0,"[{""kind"": ""open"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}, {""kind"": ""door"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,"Main Body & Top: MFC, Door Fronts: Vinyl Wrapped MDF, Back: hardboard, Legs & Handles: Metal",,,,,Free returns,,1,1,"Storage: 2 Doors, 2 Shelves. Max TV Up To 65"". Unit weight ?."
Dunelm,Jual,"Astana TV Stand for TVs up to 60""",https://www.dunelm.com/product/astana-tv-stand-for-tvs-up-to-60-1000242680?defaultSkuId=30915110,Grey,,449,12.95,,461.95,,,floor,120.0,45.0,,120.0,45.0,49.2,"[{""kind"": ""open"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}, {""kind"": ""door"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,"Real Wood Veneer, Metal Legs",,,,,Free returns,,0,0,"Storage: 2 Doors, 2 Shelves, Doors & Drawers, Open Shelf. Max TV Up To 60"". Unit weight 24kg."
Dunelm,Frank Olsen Furniture,"Lyra Low Smart TV Unit for TVs up to 70""",https://www.dunelm.com/product/lyra-low-smart-tv-unit-for-tvs-up-to-70-1000245654?defaultSkuId=30904884,Alabaster,,379,12.95,,391.95,,self,floor,150.0,40.0,,150.0,40.0,52.0,"[{""kind"": ""open"", ""count"": 1, ""widthCm"": 72.0, ""depthCm"": null, ""heightCm"": 13.0}, {""kind"": ""open"", ""count"": 1, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}, {""kind"": ""door"", ""count"": 4, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,"MDF with a paint finish, Melamine interior",,,,,Free returns,,3,1,"Storage: 2 Shelves, 4 Doors, With Doors. Max TV Up To 70"". Unit weight ?."
Dunelm,GFW,"Galicia Standard TV Unit with Shelving for TVs up to 46""",https://www.dunelm.com/product/galicia-standard-tv-unit-with-shelving-for-tvs-up-to-46-1000270809?defaultSkuId=30990499,Grey,,229,12.95,,241.95,,self,floor,120.0,38.0,,120.0,38.0,30.0,[],,,Particle Board,,,,,Free returns,,4.5,2,"Storage: not stated. Max TV Up To 46"". Unit weight ?."
Dunelm,AVF,"AVF Calibre Sound TV Unit for TVs up to 65"" with Pull-Out Soundbar Shelf",https://www.dunelm.com/product/avf-calibre-sound-tv-unit-for-tvs-up-to-60-with-pull-out-soundbar-shelf-1000261906?defaultSkuId=30989793,Rustic Oak,,229,12.95,,241.95,,self,floor,140.0,40.0,,140.0,40.0,41.0,"[{""kind"": ""open"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,MDF,,,,,Free returns,,0,0,"Storage: 2 Shelves, Open Shelf. Max TV Up To 65"". Unit weight ?."
Dunelm,Cedar & Sage,"Hopewell Media Unit for TVs up to 55""",https://www.dunelm.com/product/hopewell-media-unit-1000222618?defaultSkuId=30850914,Bronze,,449,12.95,,461.95,,self,floor,120.0,35.0,,120.0,35.0,45.0,"[{""kind"": ""open"", ""count"": 1, ""widthCm"": 120.0, ""depthCm"": null, ""heightCm"": 30.0}]",,,"Metal, Glass, Mirrored Glass",Mirrored,,,,Free returns,,0,0,"Storage: Open Shelf. Max TV Up To 55"". Unit weight ?."
Dunelm,Dorel,"Cosmo Living Westerleigh TV Stand for TVs up to 65""",https://www.dunelm.com/product/cosmo-westerleigh-tv-stand-1000221526?defaultSkuId=30859518,Black,,429,12.95,,441.95,,self,floor,151.4,50.0,,151.4,50.0,46.3,"[{""kind"": ""door"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,"Legs: Metal, Panels: Wood",,,,,Free returns,,5,5,"Storage: 2 Doors, Open Shelf, With Doors. Max TV Up To 65"". Unit weight ?."
Dunelm,Dorel,"Wainwright TV Unit, Black Oak for TVs up to 60""",https://www.dunelm.com/product/wainwright-tv-unit-black-oak-for-tvs-up-to-60-1000221546?defaultSkuId=30860044,Black,,239,12.95,,251.95,,self,floor,140.0,39.4,,140.0,39.4,49.9,"[{""kind"": ""drawer"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,"Frame: Metal, Shelves: Wood, Top panel: Glass",,,,,Free returns,,0,0,"Storage: 2 Drawers, Open Shelf, With Drawers. Max TV Up To 60"". Unit weight ?."
Dunelm,Frank Olsen Furniture,"Mia Extra Wide TV Unit for TVs up to 70""",https://www.dunelm.com/product/mia-extra-wide-tv-unit-for-tvs-up-to-70-1000272661?defaultSkuId=30986345,White,,391.2,12.95,,404.15,,self,floor,150.0,40.0,,150.0,40.0,60.0,"[{""kind"": ""open"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}, {""kind"": ""door"", ""count"": 4, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,"MDF cabinet, with alloy inlay and alloy legs",,,,,Free returns,,0,0,"Storage: 2 Shelves, 4 Doors, With Doors. Max TV Up To 70"". Unit weight ?."
Dunelm,Frank Olsen Furniture,"Iona Corner TV Unit for TVs up to 50""",https://www.dunelm.com/product/iona-corner-tv-unit-for-tvs-up-to-50-1000276723?defaultSkuId=31026365,Black,,319.2,12.95,,332.15,,self,floor,120.0,40.0,,120.0,40.0,56.0,"[{""kind"": ""open"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}, {""kind"": ""door"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,Painted MDF and Metal Alloy,,,,,Free returns,,0,0,"Storage: 2 Doors, 2 Shelves, With Doors. Max TV Up To 50"". Unit weight ?."
Dunelm,AVF,"AVF Hoxton Quad TV Unit for TVs up to 85""",https://www.dunelm.com/product/avf-hoxton-quad-tv-unit-for-tvs-up-to-85-1000261908?defaultSkuId=30989784,Light Wood,,329,12.95,,341.95,,self,floor,119.0,60.0,,119.0,60.0,144.0,"[{""kind"": ""open"", ""count"": 1, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,MDF,,,,,Free returns,,0,0,"Storage: 1 Shelf. Max TV Up To 85"". Unit weight ?."
Dunelm,Alphason,"Carbon TV Unit, Black for TVs up to 55""",https://www.dunelm.com/product/carbon-tv-unit-1000169365?defaultSkuId=30705628,Grey,,379,12.95,,391.95,,self,floor,120.0,45.0,,120.0,45.0,55.0,"[{""kind"": ""door"", ""count"": 1, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,"Top & Main Body: PB, Paper Wrap; Legs: Metal",,,,,Free returns,,4.5,2,"Storage: 1 Door, Open Shelf, With Doors. Max TV Up To 55"". Unit weight 38kg."
Dunelm,Dunelm,"Edda Standard TV Unit for TVs up to 55"", Oak Effect",https://www.dunelm.com/product/edda-standard-tv-unit-for-tvs-up-to-55-oak-effect-1000288241?defaultSkuId=31031679,Light Wood,,74.5,12.95,,87.45,,self,floor,122.0,40.0,,122.0,40.0,55.0,"[{""kind"": ""open"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}, {""kind"": ""drawer"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,"Particle Board, MDF, Paper Foil",,,,,Free returns,,5,4,"Storage: 2 Drawers, 2 Shelves. Max TV ?. Unit weight ?."
Dunelm,Loma Living,"Mateo Wall Mounted TV Unit, Wood Effect",https://www.dunelm.com/product/mateo-wall-mounted-tv-unit-wood-effect-1000287862?defaultSkuId=31034331,Walnut Effect,,249,12.95,,261.95,,self,wall-mounted,180.3,39.8,,180.3,39.8,29.7,"[{""kind"": ""door"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,"MDF, PB",Wood Effect,,,,Free returns,,3.7,3,Storage: 2 Doors. Max TV ?. Unit weight 33.64kg.
Dunelm,Dunelm,"Bryant Wooden Corner TV Stand for TVs up to 50""",https://www.dunelm.com/product/bryant-corner-tv-stand-1000234791?defaultSkuId=30918243,Walnut,,37.25,12.95,,50.2,,self,floor,110.0,45.0,,110.0,45.0,40.0,"[{""kind"": ""open"", ""count"": 1, ""widthCm"": 64.0, ""depthCm"": null, ""heightCm"": 11.0}, {""kind"": ""door"", ""count"": 1, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,"94% Certified Responsibly Sourced Particle Board, 5% Certified Responsibly Sourced MDF, 1% Iron",Wood Effect,,,,Free returns,,4.7,39,"Storage: 1 Door, Open Shelf, With Doors. Max TV Up To 50"". Unit weight ?."
Dunelm,Jual,"San Francisco TV Stand for TVs up to 60""",https://www.dunelm.com/product/san-francisco-tv-stand-for-tvs-up-to-60-1000242681?defaultSkuId=30915123,Oak,,429,12.95,,441.95,,,floor,120.0,36.0,,120.0,36.0,50.0,[],,,Real Wood Veneer,,,,,Free returns,,5,3,"Storage: Open Shelf. Max TV Up To 60"". Unit weight 24kg."
Dunelm,Dunelm,"Bari Extra Wide TV Unit for TVs up to 75""",https://www.dunelm.com/product/bari-extra-wide-tv-unit-for-tvs-up-to-75-1000271996?defaultSkuId=31008070,Oak Effect,,199.2,12.95,,212.15,,self,floor,160.0,40.0,,160.0,40.0,50.0,"[{""kind"": ""open"", ""count"": 3, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}, {""kind"": ""drawer"", ""count"": 3, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,MDF,,,,,Free returns,,0,0,"Storage: 3 Drawers, 3 Shelves, With Drawers. Max TV Up To 75"". Unit weight ?."
Dunelm,Dunelm,"Reynolds Extra Wide TV Unit for TVs up to 80"", Rustic Oak Effect",https://www.dunelm.com/product/reynolds-extra-wide-tv-unit-for-tvs-up-to-80-rustic-oak-effect-1000243781?defaultSkuId=30901016,Rustic Oak Effect,,249,12.95,,261.95,,self,floor,180.0,37.5,,180.0,37.5,43.0,"[{""kind"": ""open"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}, {""kind"": ""door"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}, {""kind"": ""drawer"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,Cabinet and doors - Rustic Oak and Paper Foiled Chipboard. Legs - Metal,,,,,Free returns,,4.8,4,"Storage: 2 Doors, 2 Drawers, 2 Shelves, Open Shelf. Max TV Up To 80"". Unit weight ?."
Dunelm,Dunelm,"Reynolds Wide TV Unit for TVs up to 60"", Rustic Oak Effect",https://www.dunelm.com/product/reynolds-wide-tv-unit-for-tvs-up-to-60-rustic-oak-effect-1000243777?defaultSkuId=30900993,Rustic Oak Effect,,199,12.95,,211.95,,self,floor,149.0,,,149.0,,46.0,"[{""kind"": ""open"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}, {""kind"": ""door"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,Cabinet and doors - Rustic Oak and Paper Foiled Chipboard. Legs - Metal,,,,,Free returns,,0,0,"Storage: 2 Doors, 2 Shelves, Open Shelf. Max TV Up To 60"". Unit weight ?."
Dunelm,GFW,"Ashcroft TV Stand for TVs up to 48"", Dark Walnut",https://www.dunelm.com/product/ashcroft-tv-stand-for-tvs-up-to-48-dark-walnut-1000250562?defaultSkuId=30959622,Walnut,,149,12.95,,161.95,,self,floor,109.5,39.0,,109.5,39.0,49.0,"[{""kind"": ""open"", ""count"": 1, ""widthCm"": 34.0, ""depthCm"": null, ""heightCm"": 14.0}, {""kind"": ""door"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}, {""kind"": ""drawer"", ""count"": 1, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,Particle Board,,,,,Free returns,,4,3,"Storage: 1 Drawer, 2 Doors, Doors & Drawers, Open Shelf. Max TV Up To 48"". Unit weight ?."
Dunelm,GFW,"Delta Extra Wide TV Unit with Shelving for TVs up to 75""",https://www.dunelm.com/product/delta-extra-wide-open-shelf-tv-unit-for-tvs-up-to-75-1000272342?defaultSkuId=30991899,Dark Grey,,249,12.95,,261.95,,self,floor,180.0,38.0,,180.0,38.0,30.0,[],,,Particle Board,,,,,Free returns,,5,2,"Storage: not stated. Max TV Up To 75"". Unit weight ?."
Dunelm,AVF,"AVF Calibre Alto TV Unit for TVs up to 60""",https://www.dunelm.com/product/avf-calibre-alto-tv-unit-for-tvs-up-to-60-1000261911?defaultSkuId=30989811,Rustic Oak,,199.99,12.95,,212.94,,self,floor,120.0,40.0,,120.0,40.0,58.0,"[{""kind"": ""open"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,MDF,,,,,Free returns,,5,1,"Storage: 2 Shelves, Open Shelf. Max TV Up To 60"". Unit weight ?."
Dunelm,GFW,"Delta Wide TV Unit with Shelving for TVs up to 65""",https://www.dunelm.com/product/delta-wide-open-shelf-tv-unit-for-tvs-up-to-65-1000272340?defaultSkuId=30990561,Dark Grey,,229,12.95,,241.95,,self,floor,150.0,38.0,,150.0,38.0,30.0,[],,,Particle Board,,,,,Free returns,,5,1,"Storage: not stated. Max TV Up To 65"". Unit weight ?."
Dunelm,Dorel,"Quincy TV Unit, Weathered Oak for TVs up to 67""",https://www.dunelm.com/product/quincy-tv-unit-weathered-oak-for-tvs-up-to-67-1000221545?defaultSkuId=30860037,Oak (Brown),,139,12.95,,151.95,,self,floor,152.2,51.9,,152.2,51.9,45.4,[],,,"Frame: Metal, Shelves: Wood",,,,,Free returns,,3.8,4,"Storage: Open Shelf. Max TV Up To 70"". Unit weight ?."
Dunelm,GFW,"Delta 120cm Floating Wall TV Unit with LEDs for TVs up to 55""",https://www.dunelm.com/product/delta-120cm-wall-tv-unit-with-leds-for-tvs-up-to-55-1000241646?defaultSkuId=30915313,Anthracite,,89,12.95,,101.95,,self,wall-mounted,120.0,38.0,,120.0,38.0,30.0,"[{""kind"": ""door"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,Particle Board,,,,,Free returns,,3.9,7,"Storage: 2 Doors, Open Shelf, With Doors. Max TV Up To 55"". Unit weight ?."
Dunelm,GFW,"Delta Standard TV Unit with Shelving for TVs up to 46""",https://www.dunelm.com/product/delta-standard-open-shelf-tv-unit-for-tvs-up-to-46-1000272341?defaultSkuId=30991889,Dark Grey,,199,12.95,,211.95,,self,floor,120.0,38.0,,120.0,38.0,30.0,[],,,Particle Board,,,,,Free returns,,4,1,"Storage: not stated. Max TV Up To 46"". Unit weight ?."
Oak Furnitureland,Oak Furnitureland,Belgrave Solid Natural Oak Large TV Unit,https://www.oakfurnitureland.co.uk/furniture/belgrave-solid-natural-oak-large-tv-unit/10000611.html,,,629.99,included,,629.99,,yes,floor,130.0,45.0,,130.0,45.0,52.0,[],,,Solid oak,,,,,,,,,Dimensions from the retailer's structured product data. Internal compartment sizes not published.
Oak Furnitureland,Oak Furnitureland,Bevel Natural Solid Oak Large TV Cabinet,https://www.oakfurnitureland.co.uk/furniture/bevel-natural-solid-oak-large-tv-cabinet/1441.html,,,399.99,included,,399.99,,yes,floor,124.0,45.0,,124.0,45.0,48.0,"[{""kind"": ""drawer"", ""count"": 6, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,Solid oak,,,,,,,,,Dimensions from the retailer's structured product data. Internal compartment sizes not published.
